Number,Player,col_2,Country,Team,Goals (Penalty),fecha_create,fecha_update
204,Wout Faes,,Belgium,Leicester City,1 (0),2025-05-24,2025-05-24
205,Evan Ferguson,,Ireland,Brighton & Hove Albion / West Ham United,1 (0),2025-05-24,2025-05-24
206,Tyrique George,,England,Chelsea FC,1 (0),2025-05-24,2025-05-24
207,Jack Grealish,,England,Manchester City,1 (0),2025-05-24,2025-05-24
208,Jacob Greaves,,England,Ipswich Town,1 (0),2025-05-24,2025-05-24
209,Brajan Gruda,,Germany,Brighton & Hove Albion,1 (0),2025-05-24,2025-05-24
210,Jack Harrison,,England,Everton FC,1 (0),2025-05-24,2025-05-24
211,Taylor Harwood-Bellis,,England,Southampton FC,1 (0),2025-05-24,2025-05-24
212,Danny Ings,,England,West Ham United,1 (0),2025-05-24,2025-05-24
213,Reece James,,England,Chelsea FC,1 (0),2025-05-24,2025-05-24
214,Vitaly Janelt,,Germany,Brentford FC,1 (0),2025-05-24,2025-05-24
215,Daniel Jebbison,,England,AFC Bournemouth,1 (0),2025-05-24,2025-05-24
216,João Félix,,Portugal,Chelsea FC,1 (0),2025-05-24,2025-05-24
217,Ben Johnson,,England,Ipswich Town,1 (0),2025-05-24,2025-05-24
218,Ferdi Kadıoğlu,,Turkey,Brighton & Hove Albion,1 (0),2025-05-24,2025-05-24
219,Boubacar Kamara,,France,Aston Villa,1 (0),2025-05-24,2025-05-24
220,Jakub Kiwior,,Poland,Arsenal FC,1 (0),2025-05-24,2025-05-24
221,Ibrahima Konaté,,France,Liverpool FC,1 (0),2025-05-24,2025-05-24
222,Maxence Lacroix,,France,Crystal Palace,1 (0),2025-05-24,2025-05-24
223,Mario Lemina,,Gabon,Wolverhampton Wanderers,1 (0),2025-05-24,2025-05-24
224,Rico Lewis,,England,Manchester City,1 (0),2025-05-24,2025-05-24
225,Keane Lewis-Potter,,England,Brentford FC,1 (0),2025-05-24,2025-05-24
226,Myles Lewis-Skelly,,England,Arsenal FC,1 (0),2025-05-24,2025-05-24
227,Ian Maatsen,,Netherlands,Aston Villa,1 (0),2025-05-24,2025-05-24
228,Harry Maguire,,England,Manchester United,1 (0),2025-05-24,2025-05-24
229,Orel Mangala,,Belgium,Everton FC,1 (0),2025-05-24,2025-05-24
230,Matheus França,,Brazil,Crystal Palace,1 (0),2025-05-24,2025-05-24
231,Matheus Nunes,,Portugal,Manchester City,1 (0),2025-05-24,2025-05-24
232,Kasey McAteer,,Ireland,Leicester City,1 (0),2025-05-24,2025-05-24
233,John McGinn,,Scotland,Aston Villa,1 (0),2025-05-24,2025-05-24
234,Lewis Miley,,England,Newcastle United,1 (0),2025-05-24,2025-05-24
235,Sam Morsy,,Egypt,Ipswich Town,1 (0),2025-05-24,2025-05-24
236,Mason Mount,,England,Manchester United,1 (0),2025-05-24,2025-05-24
237,Marshall Munetsi,,Zimbabwe,Wolverhampton Wanderers,1 (0),2025-05-24,2025-05-24
238,Vitaliy Mykolenko,,Ukraine,Everton FC,1 (0),2025-05-24,2025-05-24
239,Reiss Nelson,,England,Arsenal FC / Fulham FC,1 (0),2025-05-24,2025-05-24
240,Nico González,,Spain,Manchester City,1 (0),2025-05-24,2025-05-24
241,Matt O'Riley,,Denmark,Brighton & Hove Albion,1 (0),2025-05-24,2025-05-24
242,Wilson Odobert,,France,Tottenham Hotspur,1 (0),2025-05-24,2025-05-24
243,Caleb Okoli,,Italy,Leicester City,1 (0),2025-05-24,2025-05-24
244,William Osula,,Denmark,Newcastle United,1 (0),2025-05-24,2025-05-24
245,Jacob Ramsey,,England,Aston Villa,1 (0),2025-05-24,2025-05-24
246,Chris Richards,,USA,Crystal Palace,1 (0),2025-05-24,2025-05-24
247,Cristian Romero,,Argentina,Tottenham Hotspur,1 (0),2025-05-24,2025-05-24
248,Sávinho,,Brazil,Manchester City,1 (0),2025-05-24,2025-05-24
249,Luis Sinisterra,,Colombia,AFC Bournemouth,1 (0),2025-05-24,2025-05-24
250,Will Smallbone,,Ireland,Southampton FC,1 (0),2025-05-24,2025-05-24
251,Ramón Sosa,,Paraguay,Nottingham Forest,1 (0),2025-05-24,2025-05-24
252,Djed Spence,,England,Tottenham Hotspur,1 (0),2025-05-24,2025-05-24
253,Jack Stephens,,England,Southampton FC,1 (0),2025-05-24,2025-05-24
254,Yukinari Sugawara,,Japan,Southampton FC,1 (0),2025-05-24,2025-05-24
255,Kamaldeen Sulemana,,Ghana,Southampton FC,1 (0),2025-05-24,2025-05-24
